马文的战争;2012
姨妈的后现代生活;2012
凤凰;2012
花田喜事2010;2012
立春;2012
望山;2012
小城之春;2012
金蝴蝶结;2012
基因决定我爱你;2012
钢的琴;2012
宝贝计划;2012
精舞门;2012
美丽家园;2012
全城热恋;2012
心急吃不了热豆腐;2012
警察有约;2012
霓虹灯下的新哨兵;2012
李献计历险记;2012
大明宫;2012
熊猫大侠;2012
大笑江湖;2012
枪王之王;2012
盗版猫;2012
情癫大圣;2012
女人本色;2012
合约情人;2012
亲兄弟;2012
我的教师生涯;2012
杂技小精灵;2012
我要成名;2012
钱学森;2012
乌龙戏凤2012;2012
龙凤店;2012
哪吒;2012
吐鲁番情歌;2012
沉默的远山;2012
守护童年;2012
江北好人;2012
河东狮吼;2012
爱情呼叫转移;2012
脊梁;2012
精舞门2;2012
康定情歌;2012
嘎达梅林;2012
月老儿;2012
爱犬的奇迹;2012
生日快乐;2012
儿子同志;2012
英雄本色之林冲;2012
买买提2008;2012
革命到底;2012
图雅的婚事;2012
情牵一线;2012
岁月神偷;2012
神枪手与智多星;2012
童梦奇缘;2012
嘻游记;2012
野草莓;2012
小鬼智多星;2012
大武生;2012
可可西里;2012
味道男女;2012
沂蒙六姐妹;2012
决战刹马镇;2012
双雄;2012
魔鬼邻居;2012
天亮以后不分手;2012
钻石也疯狂;2012
小虎斑斑;2012
天生一对;2012
天下第二;2012
誓言;2012
茶色生香;2012
三审奇石;2012
知子罗;2012
夜·店;2012
大电影2.0之两个傻瓜的荒唐事;2012
跟踪孔令学;2012
回家的路;2012
绝世宝贝;2012
特工强档;2012
天地告白;2012
大搜查;2012
爱情钥匙;2012
童心;2012
我知女人心;2012
巴特拉尔传说;2012
国王的演讲;2012
地下铁;2012
生死抉择;2012
功夫之王;2012
终极挑战;2012
爱在路上;2012
生化危机：战神再生;2012
倭寇的踪迹;2012
天使不寂寞;2012
笨贼总动员;2012
喜马拉雅星;2012
倔强萝卜;2012
斗牛;2012
双城计中计;2012
碟中谍3;2012
夜上海;2012
一梦十七年;2012
大地有爱;2012
第六计;2012
活该你单身;2012
悲情探戈;2012
白发魔女;2012
最后的爱、最初的爱;2012
尔玛的婚礼;2012
玩酷青春;2012
平原枪声;2012
筑梦2008;2012
蓝精灵;2012
一百元;2012
白方礼;2012
海之梦;2012
忘不了;2012
红小鬼;2012
空巢里的孩子;2012
甜蜜蜜;2012
夺命金;2012
叶问2宗师传奇;2012
独自等待;2012
绝对底线;2012
魔鬼天使;2012
乌龟也上网;2012
香港浴血;2012
无间道;2012
霸王别姬;2012
长空风暴;2012
小城大爱;2012
一见钟情;2012
无间道Ⅱ;2012
新警察故事;2012
全城戒备;2012
生死倒计时;2012
百万巨鳄;2012
云的南方;2012
春花春草也成荫;2012
夺金;2012
蝴蝶梦（越剧）;2012
天下无贼;2012
母亲快乐;2012
复兴之路;2012
出租车4;2012
地心历险记2：神秘岛;2012
来不及爱你;2012
兄弟;2012
心愿;2012
嫁个一百分男人;2012
春风得意梅龙镇;2012
有话好好说;2012
索马里真相;2012
短信一月追;2012
地心历险记;2012
天极;2012
边城之恋;2012
非常主播;2012
英雄本色;2012
海底淘法;2012
都是手机惹的祸（山寨也疯狂）;2012
房不剩防;2012
都市有情天;2012
三岔口;2012
夺宝英雄;2012
猎;2012
文雀;2012
截拳道;2012
唐伯虎点秋香2之四大才子;2012
黑皮书;2012
超强台风;2012
三十八度;2012
时尚先生;2012
野蛮温柔;2012
女巫季节;2012
车在_途;2012
孙中山(上、下);2012
西游新传;2012
烈火恩仇;2012
快乐的大脚2;2012
终极恋人;2012
浮出水面的影子;2012
匹夫;2012
恋上你的床;2012
少共国际师;2012
圣达菲婚礼;2012
黑色的旋涡;2012
铁血奇兵;2012
阿Q与孔乙己;2012
星星;2012
当树枝折断时;2012
夺命蜂巢;2012
兵临城下之决战要塞;2012
浮云;2012
红高梁;2012
摇摆de婚约;2012
美丽任务;2012
战马;2012
金刚归来;2012
梦游美利坚;2012
千杯不醉;2012
快乐的大脚;2012
异冢;2012
精武风云;2012
不再沉睡;2012
好好过;2012
古堡之吻;2012
致命保镖;2012
喜从天降;2012
初恋浅规则;2012
我的名字叫可汗;2012
水乡的春天;2012
风儿轻轻吹;2012
双城之间;2012
寻仇阴阳界;2012
一步之城;2012
别拿自己不当干部;2012
十月围城;2012
王者之剑;2012
绝对搭档;2012
疯狂的蠢贼;2012
桃姐;2012
感情生活;2012
变节-潜罪犯;2012
第601个电话;2012
危机公关;2012
救赎（英国）;2012
山里的石头;2012
即日起程;2012
台北飘雪;2012
王者之心;2012
浮城大亨;2012
关于爱情和那些魔鬼;2012
旋风司令韩先楚;2012
夜·明;2012
红河;2012
劫杀雅典娜;2012
核桃树下;2012
牵手;2012
玩具总动员3;2012
双截棍;2012
高举？爱;2012
憨豆的黄金周;2012
飞翔的花朵;2012
花花刑警;2012
李小龙我的兄弟;2012
洛克王国 圣龙骑士;2012
非常小特工之时间大盗;2012
亲亲我;2012
恐龙宝贝;2012
开心的八月;2012
云的童话;2012
结婚狂想曲;2012
越位者;2012
女人如花;2012
海洋朋友;2012
听说爱情来过;2012
彝寨天使;2012
头彩;2012
姐姐词典;2012
老夫子之小水虎传奇;2012
神探;2012
人.鬼.情;2012
柳如是;2012
星星的孩子;2012
语路;2012
雷锋;2012
异星战场;2012
玉观音;2012
西风烈;2012
无间罪;2012
初到东京;2012
太阳总在左边;2012
玩命追踪;2012
国际电影展（上海）;2012
单刀直入（法国）;2012
丑女大翻身;2012
战友;2012
大震撼;2012
碧血剑;2012
足球小子飞毛腿;2012
